"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3DComputer+Architecture%2C+2008.+ISCA+%2708.+35th+International+Symposium+on",2015/06/23 15:56:18
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"ISCA-35 Sponsors","","","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","xix","xix","The conference organizers greatly appreciate the support of the various corporate sponsors listed.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.48","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556710","","","","","","0","","","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
"Counting Dependence Predictors","Roesner, F.; Burger, D.; Keckler, S.W.","Dept. of Comput. Sci., Univ. of Texas at Austin, Austin, TX","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","215","226","Modern processors rely on memory dependence prediction to execute load instructions as early as possible, speculating that they are not dependent on an earlier, unissued store. To date, the most sophisticated dependence predictors, such as Store Sets, have been tightly coupled to the fetch and execution streams, requiring global knowledge of the in-flight stream of stores to synchronize loads with specific stores. This paper proposes a new dependence predictor design, called a Counting Dependence Predictor (CDP). The key feature of CDPs is that the prediction mechanism predicts some set of events for which a particular dynamic load should wait, which may include some number of matching stores. By waiting for local events only, this dependence predictor can work effectively in a distributed microarchitecture where centralized fetch and execution streams are infeasible or undesirable. We describe and evaluate a distributed Counting Dependence Predictor and protocol that achieves 92% of the performance of perfect memory disambiguation. It outperforms a load-wait table, similar to the Alpha 21264, by 11%. Idealized, centralized implementations of Store Sets and the Exclusive Collision Predictor, both of which would be difficult to implement in a distributed microarchitecture, achieve 97% and 94% of oracular performance, respectively.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.6","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556728","dependence prediction;memory systems;multiprocessor and multicore architectures","Computer aided instruction;Computer architecture;Costs;Counting circuits;Delay;Microarchitecture;Microprocessors;Routing protocols;Tiles;Wire","microprocessor chips;resource allocation;storage management","counting dependence predictors;distributed microarchitecture;load instructions;load-wait table;memory dependence prediction;memory disambiguation;store sets","","4","1","23","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
"Globally-Synchronized Frames for Guaranteed Quality-of-Service in On-Chip Networks","Lee, J.W.; Man Cheuk Ng; Asanovic, K.","Comput. Sci. & Artificial Intell. Lab., Massachusetts Inst. of Technol., Cambridge, MA","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","89","100","Future chip multiprocessors (CMPs) may have hundreds to thousands of threads competing to access shared resources, and will require quality-of-service (QoS) support to improve system utilization. Although there has been significant work in QoS support within resources such as caches and memory controllers, there has been less attention paid to QoS support in the multi-hop on-chip networks that will form an important component in future systems. In this paper we introduce globally-synchronized frames (GSF), a framework for providing guaranteed QoS in on-chip networks in terms of minimum bandwidth and a maximum delay bound. The GSF framework can be easily integrated in a conventional virtual channel (VC) router without significantly increasing the hardware complexity. We rely on a fast barrier network, which is feasible in an on-chip environment, to efficiently implement GSF. Performance guarantees are verified by both analysis and simulation. According to our simulations, all concurrent flows receive their guaranteed minimum share of bandwidth in compliance with a given bandwidth allocation. The average throughput degradation of GSF on a 8times8 mesh network is within 10% compared to the conventional best-effort VC router in most cases.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.31","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556718","chip multiprocessors;interconnects;multicores;on-chip network;quality-of-service;resource management;router;software interface","Bandwidth;Control systems;Hardware;Network-on-a-chip;Performance analysis;Quality of service;Spread spectrum communication;System-on-a-chip;Virtual colonoscopy;Yarn","network routing;network-on-chip","chip multiprocessors;fast barrier network;globally-synchronized frames;guaranteed quality-of-service;multihop on-chip networks;virtual channel router","","17","2","32","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
"[Title page iii]","","","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","iii","iii","Conference proceedings title page.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.1","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556703","","","","","","0","","","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
"Fetch-Criticality Reduction through Control Independence","Agarwal, M.; Navale, N.; Malik, K.; Frank, M.I.","Coordinated Sci. Lab., Univ. of Illinois at Urbana-Champaign, Urbana, IL","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","13","24","Architectures that exploit control independence (CI) promise to remove in-order fetch bottlenecks, like branch mispredicts, instruction-cache misses and fetch unit stalls, from the critical path of single-threaded execution. By exposing more fetch options, however, CI architectures also expose more performance tradeoffs. These tradeoffs make it hard to design policies that deliver good performance. This paper presents a criticality-based model for reasoning about CI architectures, and uses that model to describe the tradeoffs between gains from control independence versus increased costs of honoring data dependences. The model is then used to derive the design of a criticality-aware task selection policy that strikes the right balance between fetch-criticality and execute-criticality. Finally, the paper validates the model by attacking branch-misprediction induced fetch-criticality through the above derived spawn policy. This leads to as high as 100% improvements in performance, and in the region of 40% or more improvements for four of the benchmarks where this is the main problem. Criticality analysis shows that this improvement arises due to reduced fetch-criticality.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.39","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556712","Control Independence;Fetch-Criticality;Implicit Parallelization","Computer architecture;Costs;Degradation;Delay;Process control;Robustness","computer architecture","branch mispredicts;control independence;criticality-aware task selection policy;data dependences;fetch unit stalls;fetch-criticality reduction;instruction-cache misses;single-threaded execution","","2","","39","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
"Author index","","","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","465","466","The author index contains an entry for each author and coauthor included in the proceedings record.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.41","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556748","","","","","","0","","","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
"Trading off Cache Capacity for Reliability to Enable Low Voltage Operation","Wilkerson, C.; Hongliang Gao; Alameldeen, A.R.; Chishti, Z.; Khellah, M.; Shih-Lien Lu","Microprocessor Technol. Lab., Intel Corp., Santa Clara, CA","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","203","214","One of the most effective techniques to reduce a processor's power consumption is to reduce supply voltage. However, reducing voltage in the context of manufacturing-induced parameter variations can cause many types of memory circuits to fail. As a result, voltage scaling is limited by a minimum voltage, often called Vccmin, beyond which circuits may not operate reliably. Large memory structures (e.g., caches) typically set Vccmin for the whole processor. In this paper, we propose two architectural techniques that enable microprocessor caches (L1 and L2), to operate at low voltages despite very high memory cell failure rates. The Word-disable scheme combines two consecutive cache lines, to form a single cache line where only non-failing words are used. The Bit-fix scheme uses a quarter of the ways in a cache set to store positions and fix bits for failing bits in other ways of the set. During high voltage operation, both schemes allow use of the entire cache. During low voltage operation, they sacrifice cache capacity by 50% and 25%, respectively, to reduce Vccmin below 500mV. Compared to current designs with a Vccmin of 825 mV, our schemes enable a 40% voltage reduction, which reduces power by 85% and energy per instruction (EPI) by 53%.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.22","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556727","SRAM;Vccmin;cache;cache design;low power;low voltage;reliability;stability","Low voltage","cache storage;memory architecture;microprocessor chips;power aware computing;reliability","Vccmin minimum voltage;bit-fix scheme;cache capacity;low voltage operation;manufacturing-induced parameter variation;memory cell failure rate;memory circuit;microprocessor cache architectural technique;processor power consumption reduction;voltage scaling;word-disable scheme","","58","3","17","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
"Running a Quantum Circuit at the Speed of Data","Isailovic, N.; Whitney, M.; Patel, Y.; Kubiatowicz, J.","Comput. Sci. Div., Univ. of California, Berkeley, CA","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","177","188","We analyze circuits for kernels from popular quantum computing applications, characterizing the hardware resources necessary to take ancilla preparation off the critical path. The result is a chip entirely dominated by ancilla generation circuits. To address this issue, we introduce optimized ancilla factories and analyze theirstructure and physical layout for ion trap technology. We introduce a new quantum computing architecture with highly concentrated data-only regions surrounded by shared ancilla factories. The results are a reduced dependence on costly teleportation, more efficient distribution of generated ancillae and more than five times speedup over previous proposals.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.5","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556725","ancilla factory;microarchitecture;quantum","Circuit analysis;Circuit analysis computing;Computer applications;Computer architecture;Data analysis;Hardware;Kernel;Production facilities;Quantum computing;Teleportation","particle traps;quantum computing","ancilla generation circuits;data-only regions;hardware resources;ion trap technology;quantum circuit;quantum computing applications;quantum computing architecture","","1","","24","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
"Polymorphic On-Chip Networks","Kim, M.M.; Davis, J.D.; Oskin, M.; Austin, T.","Comput. Sci. & Eng., Washington Univ., Seattle, WA","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","101","112","As the number of cores per die increases, be they processors, memory blocks, or custom accelerators, the on-chip interconnect the cores use to communicate gains importance. We begin this study with an area-performance analysis of the interconnect design space. We find that there is no single network design that yields optimal performance across a range of traffic patterns. This indicates that there is an opportunity to gain performance by customizing the interconnect to a particular application or workload. We propose polymorphic on-chip networks to enable per-application network customization. This network can be configured prior to application runtime, to have the topology and buffering of arbitrary network designs. This paper proposes one such polymorphic network architecture. We demonstrate its modes of configurability, and evaluate the polymorphic network architecture design space, producing polymorphic fabrics that minimize the network area overhead. Finally, we expand the network on chip design space to include a polymorphic network design, showing that a single polymorphic network is capable of implementing all of the Pareto optimal fixed-network designs.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.25","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556719","configurable hardware;on-chip network","Bandwidth;Computer science;Hardware;Network topology;Network-on-a-chip;Pareto analysis;Runtime;Space exploration;Telecommunication traffic;Traffic control","integrated circuit design;integrated circuit interconnections;network topology;network-on-chip","Pareto optimal fixed-network designs;arbitrary network design buffering;arbitrary network design topology;custom accelerators;interconnect design space;memory blocks;per-application network customization;polymorphic fabrics;polymorphic on-chip networks;processors;traffic patterns","","15","","26","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
"[Front cover]","","","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","","","Presents the front cover or splash screen of the proceedings.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.49","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556701","","","","","","0","","","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
"Understanding and Designing New Server Architectures for Emerging Warehouse-Computing Environments","Lim, K.; Ranganathan, P.; Jichuan Chang; Patel, C.; Mudge, T.; Reinhardt, S.","Univ. of Michigan, Ann Arbor, MI","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","315","326","This paper seeks to understand and design next-generation servers for emerging ""warehouse-computing"" environments. We make two key contributions. First, we put together a detailed evaluation infrastructure including a new benchmark suite for warehouse-computing workloads, and detailed performance, cost, and power models, to quantitatively characterize bottlenecks. Second, we study a new solution that incorporates volume non-server-class components in novel packaging solutions, with memory sharing and flash-based disk caching. Our results show that this approach has promise, with a 2X improvement on average in performance-per-dollar for our benchmark suite.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.37","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556736","Server architecture;evaluation;warehouse-computing","Computer architecture;Costs;Data processing;Distributed computing;Packaging;Power system modeling;Quality of service;Reservoirs;Web and internet services;Web server","Internet;computer architecture;network servers;warehousing","flash-based disk caching;memory sharing;new server architectures;next-generation servers;packaging solutions;volume nonserver-class components;warehouse-computing environments","","27","","40","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
"[Copyright notice]","","","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","iv","iv","Conference copyright notice.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.2","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556704","","","","","","0","","","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
"A Comprehensive Memory Modeling Tool and Its Application to the Design and Analysis of Future Memory Hierarchies","Thoziyoor, S.; Ahn, Jung Ho; Monchiero, M.; Brockman, J.B.; Jouppi, N.P.","Notre Dame, Univ., Notre Dame, IN","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","51","62","In this paper we introduce CACTI-D, a significant enhancement of CACTI 5.0. CACTI-D adds support for modeling of commodity DRAM technology and support for main memory DRAM chip organization. CACTI-D enables modeling of the complete memory hierarchy with consistent models all the way from SRAM based L1 caches through main memory DRAMs on DIMMs. We illustrate the potential applicability of CACTI-D in the design and analysis of future memory hierarchies by carrying out a last level cache study for a multicore multithreaded architecture at the 32nm technology node. In this study we use CACTI-D to model all components of the memory hierarchy including L1, L2, last level SRAM, logic process based DRAM or commodity DRAM L3 caches, and main memory DRAM chips. We carry out architectural simulation using benchmarks with large data sets and present results of their execution time, breakdown of power in the memory hierarchy, and system energy-delay product for the different system configurations. We find that commodity DRAM technology is most attractive for stacked last level caches, with significantly lower energy-delay products.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.16","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556715","CACTI;LLC;SRAM;cache;commodity DRAM;logic-process based DRAM","Application software;Bandwidth;Circuits;Computer architecture;Fabrication;Logic;Multicore processing;Propagation delay;Random access memory;Stacking","DRAM chips;SRAM chips;cache storage","CACTI-D;DIMM;DRAM technology;LI caches;SRAM;comprehensive memory modeling tool;memory hierarchies;memory hierarchy","","33","2","41","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
"Variation-Aware Application Scheduling and Power Management for Chip Multiprocessors","Teodorescu, R.; Torrellas, J.","Dept. of Comput. Sci., Illinois Univ., Champaign, IL","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","363","374","Within-die process variation causes individual cores in a chip multiprocessor (CMP) to differ substantially in both static power consumed and maximum frequency supported. In this environment, ignoring variation effects when scheduling applications or when managing power with dynamic voltage and frequency scaling (DVFS) is suboptimal. This paper proposes variation-aware algorithms for application scheduling and power management. One such power management algorithm, called LinOpt, uses linear programming to find the best voltage and frequency levels for each of the cores in the CMP - maximizing throughput at a given power budget. In a 20-core CMP, the combination of variation-aware application scheduling and LinOpt increases the average throughput by 12-17% and reduces the average ED<sup>2</sup> by 30-38% - all relative to using variation-aware scheduling together with a simple extension to Intel's Foxton power management algorithm.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.40","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556740","Process variation;application scheduling;power management","Application software;Dynamic voltage scaling;Energy management;Frequency;Job shop scheduling;Linear programming;Processor scheduling;Scheduling algorithm;Technology management;Throughput","linear programming;multiprocessing systems;power aware computing;processor scheduling","Intel Foxton power management algorithm;LinOpt;chip multiprocessor;dynamic frequency scaling;dynamic voltage scaling;linear programming;power management;variation-aware application scheduling","","59","5","39","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
"Online Estimation of Architectural Vulnerability Factor for Soft Errors","Xiaodong Li; Adve, S.V.; Bose, P.; Rivers, J.A.","Illinois Univ., Urbana, IL","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","341","352","As CMOS technology scales and more transistors are packed on to the same chip, soft error reliability has become an increasingly important design issue for processors. Prior research has shown that there is significant architecture-level masking, and many soft error solutions take advantage of this effect. Prior work has also shown that the degree of such masking can vary significantly across workloads and between individual workload phases, motivating dynamic adaptation of reliability solutions for optimal cost and benefit. For such adaptation, it is important to be able to accurately estimate the amount of masking or the architecture vulnerability factor (AVF) online, while the program is running. Unfortunately, existing solutions for estimating AVF are often based on offline simulators and hard to implement in real processors. This paper proposes a novel way of estimating AVF online, using simple modifications to the processor. The estimation method applies to both logic and storage structures on the processor. Compared to previous methods for estimating AVF, our method does not require any offline simulation or calibration for different workloads. We tested our method with a widely used simulator from industry, for four processor structures and for 100 to 200 intervals of each of eleven SPEC benchmarks. The results show that our method provides acceptably accurate AVF estimates at runtime. The absolute error rarely exceeds 0.08 across all application intervals for all structures, and the mean absolute error for a given application and structure combination is always within 0.05.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.9","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556738","AVF estimation;processor reliability;soft error","CMOS process;CMOS technology;Calibration;Computer architecture;Computer errors;Cost function;Logic;Material storage;Process design;Rivers","circuit reliability;logic design;logic testing;microprocessor chips","CMOS technology;architecture-level masking;microprocessor design;offline simulation;online architectural vulnerability factor estimation;soft error reliability;workload calibration","","15","3","20","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
"A Two-Level Load/Store Queue Based on Execution Locality","Pericas, M.; Cristal, A.; Cazorla, F.J.; Gonzalez, R.; Veidenbaum, A.; Jimenez, D.A.; Valero, M.","Univ. Politec. de Catalunya, Barcelona","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","25","36","Multicore processors have emerged as a powerful platform on which to efficiently exploit thread-level parallelism (TLP). However, due to Amdahlpsilas law, such designs will be increasingly limited by the remaining sequential components of applications. To overcome this limitation it is necessary to design processors with many lower-performance cores for TLP and some high-performance cores designed to execute sequential algorithms. Such cores will need to address the memory-wall by implementing kilo-instruction windows. Large window processors require large load/store queues that would be too slow if implemented using current CAM-based designs. This paper proposes an epoch-based load store queue (ELSQ), a new design based on execution locality. It is integrated into a large-window processor that has a fast, out-of-order core operating only on L1/L2 cache hits and N slower cores that process L2 misses and their dependent instructions. The large LSQ is coupled with the slow cores and is partitioned into N small and local LSQs, one per core. We evaluate ELSQ in a large-window environment, finding that it enables high performance at low power. By exploiting locality among loads and stores, ELSQ outperforms even an idealized central LSQ when implemented on top of a decoupled processor design.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.10","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556713","Execution Locality;Kilo-Instruction Processors;Load/Store Queue;Power-Efficiency","Algorithm design and analysis;Bandwidth;Computer architecture;Energy efficiency;Failure analysis;Filtering;Multicore processing;Out of order;Process design;Proposals","cache storage;parallel processing","Amdahls law;CAM-based designs;L1 cache;L2 cache;epoch-based load store queue;execution locality;kilo-instruction windows;memory-wall;multicore processors;processor design;sequential algorithms;thread-level parallelism","","2","","25","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
"3D-Stacked Memory Architectures for Multi-core Processors","Loh, G.H.","Coll. of Comput., Georgia Inst. of Technol., Athens, GA","Computer Architecture, 2008. ISCA '08. 35th International Symposium on","20080715","2008","","","453","464","Three-dimensional integration enables stacking memory directly on top of a microprocessor, thereby significantly reducing wire delay between the two. Previous studies have examined the performance benefits of such an approach, but all of these works only consider commodity 2D DRAM organizations. In this work, we explore more aggressive 3D DRAM organizations that make better use of the additional die-to-die bandwidth provided by 3D stacking, as well as the additional transistor count. Our simulation results show that with a few simple changes to the 3D-DRAM organization, we can achieve a 1.75x speedup over previously proposed 3D-DRAM approaches on our memory-intensive multi-programmed workloads on a quad-core processor. The significant increase in memory system performance makes the L2 miss handling architecture (MHA) a new bottleneck, which we address by combining a novel data structure called the Vector Bloom Filter with dynamic MSHR capacity tuning. Our scalable L2 MHA yields an additional 17.8% performance improvement over our 3D-stacked memory architecture.","1063-6897","978-0-7695-3174-8","","10.1109/ISCA.2008.15","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556747","3D integration;memory;multi-core","Bandwidth;Data structures;Delay;Memory architecture;Microprocessors;Multicore processing;Random access memory;Stacking;System performance;Wire","DRAM chips;memory architecture;microprocessor chips","3D-stacked memory architectures;DRAM;microprocessor;miss handling architecture;multicore processors;vector bloom filter;wire delay","","99","1","42","","","21-25 June 2008","","IEEE","IEEE Conference Publications"
