"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3D.LB.Publication+Title%3A+Hardware%2FSoftware+Codesign+and+System+Synthesis+.LB.CODES.PLS.ISSS.RB.%2C+2014+International+Conference+on.RB.",2015/07/23 13:46:57
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Prediction and control of bursty cloud workloads: A fractal framework","Ghorbani, M.; Yanzhi Wang; Yuankun Xue; Pedram, M.; Bogdan, P.","Electr. Eng. Dept., Univ. of Southern California, Los Angeles, CA, USA","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2014 International Conference on","20141204","2014","","","1","9","Cloud Computing is a promising approach to handle the growing needs for computation and storage in an efficient and cost-effective manner. Towards this end, characterizing workloads in the cloud infrastructure (e.g., a data center) is essential for performing cloud optimizations such as resource provisioning and energy minimization. However, there is a huge gap between the characteristics of actual workloads (e.g., they tend to be bursty and exhibit fractal behavior) and existing cloud optimization algorithms, which tend to rely on simplistic assumptions about the workloads. To close this gap, based on fractional calculus concepts, we present a fractal model to account for the complex dynamics of cloud computing workloads (i.e., the number of request arrivals or CPU/memory usage during each time interval). More precisely, we introduce a fractal operator to account for the time-varying fractal properties of the cloud workloads. In addition, we present an efficient (online) parameter estimation algorithm, an accurate forecasting strategy, and a novel fractal-based model predictive control approach for optimizing the CPU utilization, and hence, the overall energy consumption in the system while satisfying networked architecture performance constraints like queue capacities. We demonstrate advantages of our fractal model in forecasting the complex cloud computing dynamics over conventional (non-fractal) models by using real-world cloud (Google) traces. Unlike non-fractal models, which have very poor prediction capabilities under bursty workload conditions, our fractal model can accurately predict bursty request processes, which is crucial for cloud computing workload forecasting. Finally, experimental results demonstrate that the fractal model based optimization outperforms the non-fractal based ones in terms of minimizing the resource utilization by an average of 30%.","","","","10.1145/2656075.2656095","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6971828","Algorithms;Design;Management;Theory","Cloud computing;Computational modeling;Fractals;Mathematical model;Optimization;Predictive models;Servers","cloud computing;fractals;parameter estimation;power aware computing;predictive control;resource allocation","CPU utilization;CPU-memory usage;Google;bursty request processes;bursty workload conditions;cloud computing workload control;cloud computing workload forecasting;cloud computing workload prediction;cloud infrastructure;cloud optimization algorithms;complex cloud computing dynamics forecasting;energy consumption;energy minimization;forecasting strategy;fractal behavior;fractal framework;fractal model based optimization;fractal operator;fractal-based model predictive control approach;fractional calculus concepts;networked architecture performance constraints;nonfractal models;parameter estimation algorithm;queue capacities;real-world cloud traces;resource provisioning;resource utilization;time-varying fractal properties","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"A framework of awareness for artificial subjects","Jantsch, A.; Tammemae, K.","Vienna Univ. of Technol., Vienna, Austria","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2014 International Conference on","20141204","2014","","","1","3","We review the concepts of environment-and self-models, semantic interpretation, semantic attribution, history, goals and expectations, prediction, and self-inspection, how they contribute to awareness and self-awareness, and how they contribute to improved robustness and sensibility of behavior. Researchers have for some time realized that a sense of “awareness” of many embedded systems' own situation is a facilitator for robust and dependable behaviour even under radical environmental changes and drastically diminished capabilities. This insight has recently led to a proliferation of work on self-awareness and other system properties such as self-organization, self-configuration, self-optimization, self-protection, self-healing, etc., which are sometimes subsumed under the term “self-*”.","","","","10.1145/2656075.2661644","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6971836","","Educational institutions;Engines;History;Monitoring;Predictive models;Robustness;Semantics","artificial intelligence;embedded systems;fault tolerant computing;optimisation","artificial subject awareness;embedded systems;environment model;self-awareness;self-healing;self-model;self-optimization;semantic attribution;semantic interpretation","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"HEFT: A hybrid system-level framework for enabling energy-efficient fault-tolerance in NoC based MPSoCs","Yong Zou; Pasricha, S.","Dept. of Electr. & Comput. Eng., Colorado State Univ., Fort Collins, CO, USA","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2014 International Conference on","20141204","2014","","","1","10","In emerging CMOS process technologies, network-on-chip (NoC) fabrics are increasingly becoming susceptible to transient faults. Fault-tolerance mechanisms that are typically employed in NoCs usually entail significant energy overheads that are expected to become prohibitive as fault rates increase in future CMOS technologies. We propose a system-level framework called HEFT to trade-off energy consumption and fault-tolerance in the NoC fabric. Our hybrid framework tackles the challenge of enabling energy-efficient resilience in NoCs in two phases: at design time and at runtime. At design time, we implement an algorithm to guide the robust mapping of cores on to a die while satisfying application bandwidth and latency constraints. At runtime we devise a prediction algorithm to monitor and detect changes in fault susceptibility of NoC components, to intelligently balance energy consumption and reliability. Experimental results show that HEFT improves energy/reliability ratio of synthesized solutions by 8-20%, while meeting application performance goals, when compared to multiple prior works on reliable system-level NoC design.","","","","10.1145/2656075.2656087","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6971820","System-level design;fault-tolerance;networks-on-chip","Bandwidth;Fault tolerance;Fault tolerant systems;Reliability engineering;Runtime;Tunneling magnetoresistance","CMOS integrated circuits;energy conservation;energy consumption;fault tolerance;integrated circuit design;integrated circuit reliability;multiprocessing systems;network-on-chip;transient analysis","CMOS process technology;CMOS technology;HEFT;NoC based MPSoC;NoC component;NoC fabric;application bandwidth;energy consumption;energy-efficient fault-tolerance;energy-efficient resilience;fault rate;fault susceptibility;fault-tolerance mechanism;hybrid system-level framework;latency constraint;network-on-chip fabric;prediction algorithm;reliability;reliable system-level NoC design;robust mapping;transient fault","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Improving formal timing analysis of switched ethernet by exploiting traffic stream correlations","Thiele, D.; Axer, P.; Ernst, R.; Seyler, J.R.","Inst. of Comput. & Network Eng., Tech. Univ. Braunschweig, Braunschweig, Germany","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2014 International Conference on","20141204","2014","","","1","10","Ethernet networks become increasingly popular in many distributed, embedded application domains. In safety-critical real-time systems, such as industrial control or driver assistance systems, formal performance analysis methods are required to verify the timing, e.g. by providing upper bounds on end-to-end latencies. These formal methods, however, often rely on overapproximations to keep the computational complexity at a tractable level. In distributed systems, these overapproximations can accumulate leading to overly conservative timing guarantees. Switched networks, such as Ethernet (especially with large topologies), are particularly prone to this effect. In this paper, we identify timing correlations between traffic streams in Ethernet networks and show how they can be exploited by a formal analysis to derive timing guarantees, which are up to 80% tighter.","","","","10.1145/2656075.2656090","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6971831","Ethernet;automotive Ethernet;formal performance analysis;real-time systems","Abstracts;Switches;Timing","approximation theory;computational complexity;local area networks;real-time systems;telecommunication traffic;timing","computational complexity;distributed embedded application domains;distributed systems;end-to-end latencies;formal performance analysis methods;formal timing analysis;overapproximations;safety-critical real-time systems;switched Ethernet networks;timing correlations;traffic stream correlations","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"From self-aware building blocks to self-organizing systems with hierarchical agent-based adaptation","Liang Guang; Plosila, J.; Tenhunen, H.","Univ. of Turku, Turku, Finland","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2014 International Conference on","20141204","2014","","","1","3","How to develop a self-aware system from modularized design components is a major challenge on this theme. The authors introduce a hierarchical agent-based system architecture, which enables self-organization and self-adaptation upon parallel embedded systems. Self-organization is achieved by dynamic clusterization, which groups self-aware components into a cluster and continuously updates the organization to account for application changes and internal errors. Self-adaptation is performed by hierarchical agents, based on the run-time organization, to monitor corresponding levels of components and reconfigure the system to improve ture achieves functional scalability via partitioning of agent ware/hardware co-design of agents.","","","","10.1145/2656075.2661646","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6971839","embedded computing systems;hierarchical agent-based adaptation;self-awareness;self-organization","Abstracts;Hardware","embedded systems;hardware-software codesign;parallel architectures;power aware computing","agent intelligence;dynamic clusterization;energy efficiency;hierarchical agent-based adaptation;hierarchical agents;level-specific software-hardware co-design;modularized design components;parallel embedded systems;physical scalability;run-time organization;self-adaptation;self-aware building blocks;self-aware components;self-organization;self-organizing systems","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Code generation from a domain-specific language for C-based HLS of hardware accelerators","Reiche, O.; Schmid, M.; Hannig, F.; Membarth, R.; Teich, J.","Dept. of Comput. Sci., Friedrich-Alexander Univ. Erlangen-Nurnberg (FAU), Erlangen, Germany","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2014 International Conference on","20141204","2014","","","1","10","As today's computer architectures are becoming more and more heterogeneous, a plethora of options including CPUs, GPUs, DSPs, reconfigurable logic (FPGAs), and other application-specific processors come into consideration for close-to-sensor processing. Especially, in the domain of image processing on mobile devices, among numerous design challenges, a very stringent energy budget is of utmost importance, making embedded GPUs and FPGAs ideal targets for implementation. Recently, the HIPA<sup>cc</sup> framework was proposed as a means for automatic code generation of image processing algorithms for embedded GPUs, based on a Domain-Specific Language (DSL). Despite of huge advancements in High-Level Synthesis (HLS) for FPGAs, designers are still required to have detailed knowledge about coding techniques and the targeted architecture to achieve efficient solutions. As a remedy, in this work, we propose code generation techniques for C-based HLS from a common high-level DSL description targeting FPGAs. Our approach includes FPGA-specific memory architectures for handling point and local operators, numerous high-level transformations, and automatic test bench generation. We evaluate our approach by comparing the resulting hardware accelerators to existing frameworks in terms of performance and resource requirements. Moreover, we assess the achieved energy efficiency in contrast to software implementations, generated by HIPA<sup>cc</sup> from the same code base, executed on GPUs.","","","","10.1145/2656075.2656081","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6971833","Code generation;FPGA;GPU;domain-specific language;hardware accelerator;high-level synthesis;image processing","Computer architecture;DSL;Field programmable gate arrays;Hardware;Image processing;Kernel;Laplace equations","field programmable gate arrays;graphics processing units;high level synthesis;image processing;memory architecture;multiprocessing systems;program compilers","C-based HLS;CPU;DSL;DSP;FPGA-specific memory architectures;HIPA;automatic code generation techniques;coding techniques;computer architectures;domain-specific language;embedded GPU;hardware accelerators;high-level synthesis;image processing algorithms;mobile devices;reconfigurable logic","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"DAARM: Design-time application analysis and run-time mapping for predictable execution in many-core systems","Weichslgartner, A.; Gangadharan, D.; Wildermann, S.; Glass, M.; Teich, J.","Friedrich-Alexander-Univ. Erlangen-Nurnberg (FAU), Erlangen, Germany","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2014 International Conference on","20141204","2014","","","1","10","Future many-core systems are envisaged to support the concurrent execution of varying mixes of different applications. Because of the vast number of binding options for such mixes on heterogeneous resources, enabling predictable application execution is far from trivial. Hybrid application mapping is an efficient way of achieving run-time predictability by combining design-time analysis of application mappings with run-time management. Existing hybrid mapping strategies focus on computation resources and either ignore communication details or make significantly simplifying assumptions like unlimited bandwidth or exclusive usage. But, actual many-core systems consist of constrained and shared computation and communication resources where the run-time decision of whether a feasible application binding on a set of preoccupied resources exists or not is an NP-complete problem. As a remedy, we present a novel hybrid application mapping approach that considers constrained shared communication and computation resources. Here, (a) a design space exploration coupled with a formal performance analysis delivers several resource reservation configurations with verified real-time guarantees for each individual application. The configurations are then transformed to (b) a novel efficient intermediate representation that is passed to the run-time management where we (c) formulate run-time resource reservation and application binding as a constraint satisfaction problem and present an adequate solving mechanism. Our experimental evaluation shows that existing approaches may produce infeasible outcomes and are thus not applicable for predictable application execution, while the proposed approach enables predictable and efficient run-time management of dynamic application mixes.","","","","10.1145/2656075.2656083","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6971850","dse;hybrid mapping;many-core;networks-on-chip;predictability","Availability;Bandwidth;Energy consumption;Performance analysis;Real-time systems;Routing;Space exploration","computational complexity;concurrency control;constraint satisfaction problems;multiprocessing systems;performance evaluation;resource allocation","DAARM;NP-complete problem;application binding;computation resources;concurrent execution;constrained shared communication;constrained shared computation;constraint satisfaction problem;design space exploration;design-time application analysis and run-time mapping;formal performance analysis;hybrid application mapping approach;many-core systems;predictable execution;run-time decision;run-time management;run-time resource reservation","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Generating situation awareness in cyber-physical systems: Creation and exchange of situational information","Preden, J.","Res. Lab. for Proactive Technol., Tallinn Univ. of Technol., Tallinn, Estonia","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2014 International Conference on","20141204","2014","","","1","3","Cyber-physical systems depend on good situation awareness in order to cope with the changes of the physical world and in the configuration of the system to fulfill their goal functions. Being aware of the situation in the physical world enables a cyber-physical system to adapt its behaviour according to the actual state of the world as perceived by the cyber-physical system. Understanding the situation of the cyber-physical system itself enables adaptation of the behaviour of the system according to the current capabilities and state of the system, e.g., providing less features or features with limited functionality in case some of the system components are not functional. In order to build resilient cyber-physical systems we need to build systems that are able to consider both of these aspects in their operation.","","","","10.1145/2656075.2661647","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6971837","cyber physical system;situation awareness","Context;Embedded systems;Mediation;Sensor systems;Systems engineering and theory","middleware","ProWare;cyber-physical systems;distributed proactive middleware;situation awareness generation;situational information;system component functionality","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Dark silicon as a challenge for hardware/software co-design","Shafique, M.; Garg, S.; Mitra, T.; Parameswaran, S.; Henkel, J.","Dept. of Embedded Syst., Karlsruhe Inst. of Technol., Karlsruhe, Germany","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2014 International Conference on","20141204","2014","","","1","10","Dark Silicon refers to the observation that in future technology nodes, it may only be possible to power-on a fraction of on-chip resources (processing cores, hardware accelerators, cache blocks and so on) in order to stay within the power budget and safe thermal limits, while the other resources will have to be kept powered-off or “dark”. In other words, chips will have an abundance of transistors, i.e., more than the number that can be simultaneously powered-on. Heterogeneous computing has been proposed as one way to effectively leverage this abundance of transistors in order to increase performance, energy efficiency and even reliability within power and thermal constraints. However, several critical challenges remain to be addressed including design, automated synthesis, design space exploration and run-time management of heterogeneous dark silicon processors. The hardware/software co-design and synthesis community has potentially much to contribute in solving these new challenges introduced by dark silicon and, in particular, heterogeneous computing. In this paper, we identify and highlight some of these critical challenges, and outline some of our early research efforts in addressing them.","","","","10.1145/2656075.2661645","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6971829","","Computer architecture;Hardware;Program processors;Reliability;Silicon;Switches","hardware-software codesign;power aware computing","automated synthesis;design space exploration;energy efficiency improvement;hardware-software co-design;heterogeneous computing;heterogeneous dark silicon processors;on-chip resources;performance improvement;power budget;power constraint;reliability improvement;run-time management;safe thermal limits;thermal constraint;transistors","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"An efficient technique for computing importance measures in automatic design of dependable embedded systems","Aliee, H.; Glass, M.; Khosravi, F.; Teich, J.","Friedrich-Alexander-Univ. Erlangen-Nurnberg, Erlangen, Germany","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2014 International Conference on","20141204","2014","","","1","10","Importance measure analysis judges the relative importance of components in a system and reveals how each component contributes to the system reliability. In the design of large and complex systems, importance measure analysis can therefore be employed to guide an optimization tool which design decisions to investigate to gain higher reliability. While previous research has mainly concentrated on developing analytical importance measure techniques, the automatic and frequent computing of importance measures as required in the context of design space exploration has got very few, if any attention. This paper presents a highly efficient technique to compute the reliability and structural importance measures of components of a system. The proposed technique considers the reliability of a system implementation and subsequently analyzes the importance measures of its components based on a state-of-the-art Monte Carlo simulation. The technique can therefore estimate the importance measures of all components concurrently, highly improving the performance of the computation compared, e. g., to the well-known Birnbaum approach by the factor of 2n with n being the number of components. Moreover, we show how this algorithm can be extended to support importance measure analysis in the existence of transient faults which is essential since in future systems, transient faults are expected to cause relatively more failures than permanent faults. We integrated the proposed analysis approach in an existing multi-objective local-search algorithm that is part of an automatic system-level design space exploration which seeks for system implementations with highest reliability at lowest possible cost. Experimental results show that the proposed algorithm performs efficiently with negligible imprecision, even for large realworld examples.","","","","10.1145/2656075.2656079","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6971819","","Algorithm design and analysis;Boolean functions;Hardware;Reliability engineering;Space exploration;Transient analysis","importance sampling;search problems","Birnbaum approach;Monte Carlo simulation;automatic design;automatic system-level design space exploration;complex system;dependable embedded systems;importance measure analysis;importance measure techniques;large system;multiobjective local-search algorithm;optimization tool;permanent fault;structural importance measures;system implementation;system reliability;transient fault","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Fault-aware application scheduling in low-power embedded systems with energy harvesting","Yi Xiang; Pasricha, S.","Dept. of Electr. & Comput. Eng., Colorado State Univ., Fort Collins, CO, USA","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2014 International Conference on","20141204","2014","","","1","10","In this paper, we propose a hybrid design-time and run-time framework for reliable resource allocation, i.e., mapping and scheduling of applications, in multi-core embedded systems with solar energy harvesting. Our framework is designed to cope with the complexity of an application model with data dependencies and run-time variations in solar radiance, execution time, and transient faults, with support for flexible schedule templates at design-time, and lightweight online adjustment mechanisms to monitor run-time dynamics and make adjustments to task execution strategy. Our experimental results indicate improvements in performance and adaptivity using our framework, with up to 29.5% miss rate reduction compared to prior work and 55% performance benefits from adaptive run-time workload management, under stringent energy constraints and varying system conditions at run-time.","","","","10.1145/2656075.2656084","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6971848","Energy Harvesting;Soft Errors;Task Scheduling","Embedded systems;Energy harvesting;Program processors;Reliability;Schedules;Solar energy;Timing","embedded systems;energy harvesting;fault tolerant computing;multiprocessing systems;power aware computing;processor scheduling;resource allocation","adaptive run-time workload management;application mapping;energy harvesting;execution time;fault-aware application scheduling;lightweight online adjustment mechanisms;low-power embedded systems;miss rate reduction;multicore embedded systems;resource allocation;run-time dynamics monitoring;solar energy harvesting;solar radiance;transient faults","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
"Job arrival rate aware scheduling for asymmetric multi-core servers in the dark silicon era","Raghunathan, B.; Garg, S.","Dept. of Electr. & Comput. Eng., Univ. of Waterloo, Waterloo, ON, Canada","Hardware/Software Codesign and System Synthesis (CODES+ISSS), 2014 International Conference on","20141204","2014","","","1","9","The rate at which jobs arrive for processing at servers in a data-center (i.e., the job arrival rate) can vary significantly with time. Each server in a data-center is a multi-core processor, allowing jobs to be processed with different degrees of parallelism (DoPs) (i.e., number of threads per job). In this paper, we show both analytically and empirically that the optimal DoP that minimizes mean service time varies with job arrival rate. In addition, we show that for asymmetric multi-core server processors (i.e., processors with multiple clusters, each consisting of cores of a different type, and assuming that only one cluster is active at any given time while the others are dark), the best cluster to select is also dependent on job arrival rate. Based on these observations, we propose a run-time scheduler that determines the optimal DoP and performs inter-cluster migration to minimize mean service time within a power budget. Experimental results demonstrate significant reduction in mean service time compared to job arrival rate unaware schedulers.","","","","10.1145/2656075.2656091","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6971830","","Analytical models;Benchmark testing;Multicore processing;Program processors;Queueing analysis;Servers;Silicon","computer centres;multiprocessing systems;processor scheduling","DoP;asymmetric multicore server;dark silicon era;data-center;degrees of parallelism;inter-cluster migration;job arrival rate aware scheduling;job arrival rate unaware scheduler;mean service time;multicore processor;multicore server processor;run-time scheduler","","0","","","","","12-17 Oct. 2014","","IEEE","IEEE Conference Publications"
