"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3D.LB..QT.Publication+Title.QT.%3ANetworks+on+Chip+.LB.NoCS.RB.%2C+2012+Sixth+IEEE%2FACM+International+Symposium+on.RB.",2015/07/17 18:46:20
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A Novel Flit Serialization Strategy to Utilize Partially Faulty Links in Networks-on-Chip","Changlin Chen; Ye Lu; Cotofana, S.D.","Comput. Sci. & Eng., Software & Comput. Technol., Delft Univ. of Technol., Delft, Netherlands","Networks on Chip (NoCS), 2012 Sixth IEEE/ACM International Symposium on","20120531","2012","","","124","131","Aggressive MOS transistor size scaling substantially increase the probability of faults in NoC links due to manufacturing defects, process variations, and chip wire-out effects. Strategies have been proposed to tolerate faulty wires by replacing them with spare ones or by partially using the defective links. However, these strategies either suffer from high area and power overheads, or significantly increase the average network latency. In this paper, we propose a novel flit serialization method, which divides the links and flits into several sections, and serializes flit sections of adjacent flits to transmit them on all available fault-free link sections to avoid the complete waste of defective links bandwidth. Experimental results indicate that our method reduces the latency overhead significantly and enables graceful performance degradation, when compared with related partially faulty link usage proposals, and saves area and power overheads by up to 29% and 43.1%, respectively, when compared with spare wire replacement methods.","","978-1-4673-0973-8","","10.1109/NOCS.2012.22","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209271","Networks-on-Chip;flit serialization;partially faulty link usage;permanent error","Error correction codes;Fault tolerance;Fault tolerant systems;Receivers;Registers;Vectors;Wires","MOS integrated circuits;fault diagnosis;fault trees;integrated circuit reliability;network-on-chip","MOS transistor size scaling;chip wire-out effect;defective links bandwidth;fault free link section;flit serialization strategy;manufacturing defect;network-on-chip;partially faulty links;process variation;serializes flit section","","2","","17","","","9-11 May 2012","","IEEE","IEEE Conference Publications"
"Fine-Grained Bandwidth Adaptivity in Networks-on-Chip Using Bidirectional Channels","Hesse, R.; Nicholls, J.; Jerger, N.E.","Dept. of Electr. & Comput. Eng., Univ. of Toronto, Toronto, ON, Canada","Networks on Chip (NoCS), 2012 Sixth IEEE/ACM International Symposium on","20120531","2012","","","132","141","Networks-on-Chip (NoC) serve as efficient and scalable communication substrates for many-core architectures. Currently, the bandwidth provided in NoCs is over provisioned for their typical usage case. In real-world multi-core applications, less than 5% of channels are utilized on average. Large bandwidth resources serve to keep network latency low during periods of peak communication demands. Increasing the average channel utilization through narrower channels could improve the efficiency of NoCs in terms of area and power, however, in current NoC architectures this degrades overall system performance. Based on thorough analysis of the dynamic behaviour of real workloads, we design a novel NoC architecture that adapts to changing application demands. Our architecture uses fine-grained bandwidth-adaptive bidirectional channels to improve channel utilization without negatively affecting network latency. Running PARSEC benchmarks on a cycle-accurate full-system simulator, we show that fine-grained bandwidth adaptivity can save up to 75% of channel resources while achieving 92% of overall system performance compared to the baseline network, no performance is sacrificed in our network design configured with 50% of the channel resources used in the baseline.","","978-1-4673-0973-8","","10.1109/NOCS.2012.23","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209272","Network-on-Chip;NoC;bandwidth adaptive;bidirectional channel;channel utilization;channel width;phit-serial","Bandwidth;Clocks;Computer architecture;Delay;Switches;System performance;Wires","network-on-chip","NoC architecture;PARSEC benchmarks;cycle-accurate full-system simulator;fine-grained bandwidth adaptivity;fine-grained bandwidth-adaptive bidirectional channels;networks-on-chip","","5","","20","","","9-11 May 2012","","IEEE","IEEE Conference Publications"
"Generic Monitoring and Management Infrastructure for 3D NoC-Bus Hybrid Architectures","Rahmani, A.-M.; Vaddina, K.R.; Latif, K.; Liljeberg, P.; Plosila, J.; Tenhunen, H.","Dept. of Inf. Technol., Univ. of Turku, Turku, Finland","Networks on Chip (NoCS), 2012 Sixth IEEE/ACM International Symposium on","20120531","2012","","","177","184","Three-dimensional integrated circuits (3D ICs) achieve enhanced system integration and improved performance at lower cost and reduced area footprint. In order to exploit the intrinsic capability of reducing the wire length in 3D ICs, 3D NoC-Bus Hybrid mesh architecture was proposed which provides performance, power consumption, and area benefits. Besides its various advantages, this architecture has a unique and hitherto previously unexplored way to implement an efficient system-wide monitoring network. In this paper, an integrated low-cost monitoring platform for 3D stacked mesh architectures is proposed which can be efficiently used for various system management purposes such as traffic monitoring, thermal management and fault tolerance. The proposed generic monitoring and management infrastructure called ARB-NET utilizes bus arbiters to exchange the monitoring information directly with each other without using the data network. As a test case, based on the proposed monitoring and management platform, a fully congestion-aware and inter-layer fault tolerant routing algorithm named AdaptiveXYZ is presented taking advantage of viable information generated using bus arbiter network. In addition, we propose a thermal monitoring and management strategy on top of our ARB-NET infrastructure. Compared to recently proposed stacked mesh 3D NoCs, our extensive simulations with synthetic and real benchmarks reveal that our architecture using the AdaptiveXYZ routing can help in achieving significant power and performance improvements while preserving the system reliability with negligible hardware overhead.","","978-1-4673-0973-8","","10.1109/NOCS.2012.28","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209277","3D ICs;3D NoC-Bus Hybrid Architecture;Adaptive Routing Algorithm;Fault Tolerance;Monitoring Infrastructure;Thermal Management","Fault tolerance;Fault tolerant systems;Monitoring;Routing;Stress;Thermal management;Three dimensional displays","fault tolerance;hybrid integrated circuits;integrated circuit measurement;integrated circuit reliability;network routing;network-on-chip;three-dimensional integrated circuits","3D NOC-bus hybrid architectures;3D stacked mesh architectures;AdaptiveXYZ;bus arbiter network;congestion-aware;enhanced system integration;generic monitoring;integrated low-cost monitoring platform;inter-layer fault tolerant routing algorithm;intrinsic capability;management infrastructure;management strategy;system reliability;thermal monitoring;three-dimensional integrated circuits","","6","","15","","","9-11 May 2012","","IEEE","IEEE Conference Publications"
"Engineering a Bandwidth-Scalable Optical Layer for a 3D Multi-core Processor with Awareness of Layout Constraints","Ramini, L.; Bertozzi, D.; Carloni, L.P.","Eng. Dept., Univ. of Ferrara, Ferrara, Italy","Networks on Chip (NoCS), 2012 Sixth IEEE/ACM International Symposium on","20120531","2012","","","185","192","The performance of future chip multi-processors will only scale with the number of integrated cores if there is a corresponding increase in memory access efficiency. The focus of this paper on a 3D-stacked wavelength-routed optical layer for high bandwidth and low latency processor-memory communication goes in this direction and complements ongoing efforts on photonically integrated bandwidth-rich DRAM devices. This target environment dictates layout constraints that make the difference in discriminating between alternative design choices of the optical layer. This paper assesses network partitioning options and bandwidth scalability techniques with deep technology and layout awareness, the main contribution lying in the characterization and precise quantification of such interaction effects between the technology platform, the layout constraints and the network-level quality metrics of a passive optical NoC.","","978-1-4673-0973-8","","10.1109/NOCS.2012.29","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209278","3D stacked logic and memory;Optical-NoC","Adaptive optics;Layout;Network topology;Optical buffering;Optical fiber networks;Optical waveguides;Topology","DRAM chips;microprocessor chips;network-on-chip;three-dimensional integrated circuits","3D multicore processor;3D-stacked wavelength-routed optical layer;bandwidth scalability techniques;bandwidth-scalable optical layer;chip multiprocessors;layout constraint awareness;low latency processor-memory communication;memory access efficiency;network partitioning options;network-level quality metrics;passive optical NoC;photonically integrated bandwidth-rich DRAM devices","","7","","32","","","9-11 May 2012","","IEEE","IEEE Conference Publications"
"Author index","","","Networks on Chip (NoCS), 2012 Sixth IEEE/ACM International Symposium on","20120531","2012","","","211","212","Contains an entry for each author and co-author included in this publication.","","978-1-4673-0973-8","","10.1109/NOCS.2012.33","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209246","","","","","","0","","","","","9-11 May 2012","","IEEE","IEEE Conference Publications"
"TOPAZ: An Open-Source Interconnection Network Simulator for Chip Multiprocessors and Supercomputers","Abad, P.; Prieto, P.; Menezo, L.G.; Colaso, A.; Puente, V.; Gregorio, J.-A.","Dept. de Electron. y Comput., Univ. of Cantabria, Santander, Spain","Networks on Chip (NoCS), 2012 Sixth IEEE/ACM International Symposium on","20120531","2012","","","99","106","As in other computer architecture areas, interconnection networks research relies most of the times on simulation tools. This paper announces the release of an open-source tool suitable to be used for accurate modeling from small CMP to large supercomputer interconnection networks. The cycle-accurate modeling of TOPAZ can be used standalone through synthetic traffic patterns and application-traces or within full-system evaluation systems such as GEMS or GEM5 effortlessly. In fact, we provide an advanced interface that enables the replacement of the original lightweight but optimistic GEMS and GEM5 network simulator with limited performance impact on the simulation time. Our tests indicate that in this context, underestimating network modeling could induce up to 50% error in the performance estimation of the simulated system. To minimize the impact of detailed network modeling on simulation time, we incorporate mechanisms able to attenuate the higher computational effort, reducing in this way the slowdown of the full system simulation with accurate performance estimations. Additionally, in order to evaluate large-scale networks, we parallelize the simulator to be able to optimize memory resources with the growing number of cores available per chip in the simulation farms. This allows us to simulate node networks exceeding one million of routers with up to 70% efficiency in a multithreaded simulation running on twelve cores.","","978-1-4673-0973-8","","10.1109/NOCS.2012.19","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209268","chip multiprocessor;interconnection networks;simulator;supercomputer","Adaptation models;Computational modeling;Garnets;Load modeling;Multiprocessor interconnection;Network topology;Object oriented modeling","microprocessor chips;multiprocessing systems;multiprocessor interconnection networks;parallel architectures;parallel machines","GEM5 network simulator;GEMS network simulator;TOPAZ;application traces;chip multiprocessors;computer architecture;multithreaded simulation;network modeling;node networks;open-source interconnection network simulator;performance estimation;supercomputer interconnection networks;synthetic traffic patterns","","9","","32","","","9-11 May 2012","","IEEE","IEEE Conference Publications"
"Déjà Vu Switching for Multiplane NoCs","Abousamra, A.K.; Melhem, R.G.; Jones, A.K.","","Networks on Chip (NoCS), 2012 Sixth IEEE/ACM International Symposium on","20120531","2012","","","11","18","In chip-multiprocessors (CMPs) the network-on-chip (NoC) carries cache coherence and data messages. These messages may be classified into critical and non-critical messages. Hence, instead of having one interconnect plane to serve all traffic, power can be saved if the NoC is split into two planes: a fast plane dedicated to the critical messages and a slower, more power-efficient plane dedicated only to the non-critical messages. This split, however, can be beneficial to save energy only if system performance is not significantly degraded by the slower plane. In this work we first motivate the need for a timely delivery of the ""non-critical"" messages. Second, we propose Déjà Vu switching, a simple algorithm that enables reducing the voltage and frequency of one plane while reducing communication latency through circuit switching and support of advance, possibly conflicting, circuit reservations. Finally, we study the constraints that govern how slow the power-efficient plane can operate without negatively impacting system performance. We evaluate our design through simulations of 16 and 64 core CMPs. The results show that we can achieve an average NoC energy savings of 43% and 53%, respectively.","","978-1-4673-0973-8","","10.1109/NOCS.2012.9","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209257","NoC;circuit switching;energy-efficient architectures;heterogeneous NoC;multiplane NoC;network-on-chip","Coherence;Delay;Integrated circuit interconnections;Routing;Switches;Switching circuits;System performance","circuit switching;multiprocessing systems;network-on-chip","16 core CMP;64 core CMP;Déjà Vu switching;NoC energy;chip-multiprocessor;circuit reservation;circuit switching;communication latency;multiplane NoC;noncritical message;power-efficient plane","","0","","26","","","9-11 May 2012","","IEEE","IEEE Conference Publications"
"MinBD: Minimally-Buffered Deflection Routing for Energy-Efficient Interconnect","Fallin, C.; Nazario, G.; Xiangyao Yu; Chang, K.; Ausavarungnirun, R.; Mutlu, O.","Carnegie Mellon Univ., Pittsburgh, PA, USA","Networks on Chip (NoCS), 2012 Sixth IEEE/ACM International Symposium on","20120531","2012","","","1","10","A conventional Network-on-Chip (NoC) router uses input buffers to store in-flight packets. These buffers improve performance, but consume significant power. It is possible to bypass these buffers when they are empty, reducing dynamic power, but static buffer power, and dynamic power when buffers are utilized, remain. To improve energy efficiency, buffer less deflection routing removes input buffers, and instead uses deflection (misrouting) to resolve contention. However, at high network load, deflections cause unnecessary network hops, wasting power and reducing performance. In this work, we propose a new NoC router design called the minimally-buffered deflection (MinBD) router. This router combines deflection routing with a small ""side buffer,"" which is much smaller than conventional input buffers. A MinBD router places some network traffic that would have otherwise been deflected in this side buffer, reducing deflections significantly. The router buffers only a fraction of traffic, thus making more efficient use of buffer space than a router that holds every flit in its input buffers. We evaluate MinBD against input-buffered routers of various sizes that implement buffer bypassing, a buffer less router, and a hybrid design, and show that MinBD is more energy efficient than all prior designs, and has performance that approaches the conventional input-buffered router with area and power close to the buffer less router.","","978-1-4673-0973-8","","10.1109/NOCS.2012.8","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209256","","Frequency control;Pipelines;Routing;Routing protocols;Silver;System recovery","integrated circuit interconnections;network routing;network-on-chip","NoC router design;buffer bypassing;buffer space;energy-efficient interconnect;hybrid design;input-buffered router;minimally-buffered deflection router;minimally-buffered deflection routing;network traffic;router buffer","","6","","40","","","9-11 May 2012","","IEEE","IEEE Conference Publications"
"[Front cover]","","","Networks on Chip (NoCS), 2012 Sixth IEEE/ACM International Symposium on","20120531","2012","","","C1","C1","Presents the front cover or splash screen of the proceedings record.","","978-1-4673-0973-8","","10.1109/NOCS.2012.35","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209254","","","","","","0","","","","","9-11 May 2012","","IEEE","IEEE Conference Publications"
"In-network Monitoring and Control Policy for DVFS of CMP Networks-on-Chip and Last Level Caches","Xi Chen; Zheng Xu; Hyungjun Kim; Gratz, P.; Jiang Hu; Kishinevsky, M.; Ogras, U.","Dept. of Electr. & Comput. Eng., Texas A&M Univ., College Station, TX, USA","Networks on Chip (NoCS), 2012 Sixth IEEE/ACM International Symposium on","20120531","2012","","","43","50","In chip design today and for a foreseeable future, on-chip communication is not only a performance bottleneck but also a substantial power consumer. This work focuses on employing dynamic voltage and frequency scaling (DVFS) policies for networks-on-chip (NoC) and shared, distributed last-level caches (LLC). In particular, we consider a practical system architecture where the distributed LLC and the NoC share a voltage/frequency domain which is separate from the core domain. This architecture enables controlling the relative speed between the cores and memory hierarchy without introducing synchronization delays within the NoC. DVFS for this architecture is more difficult than individual link/core-based DVFS since it involves spatially distributed monitoring and control. We propose an average memory access time (AMAT)-based monitoring technique and integrate it with DVFS based on PID control theory. Simulations on PARSEC benchmarks yield a 33% dynamic energy savings with a negligible impact on system performance.","","978-1-4673-0973-8","","10.1109/NOCS.2012.12","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209261","Multicore;NoC;dynamic power;memory system","Clocks;Extrapolation;Frequency domain analysis;Monitoring;Program processors;Tiles","integrated circuit design;multiprocessing systems;network-on-chip;synchronisation;three-term control","CMP networks-on-chip;DVFS;PARSEC benchmarks;PID control theory;average memory access time;chip design;control policy;core domain;distributed last level caches;dynamic energy savings;dynamic voltage and frequency scaling;in-network monitoring;on-chip communication;spatially distributed monitoring;synchronization delays;system performance","","5","","26","","","9-11 May 2012","","IEEE","IEEE Conference Publications"
"A Hybrid Buffer Design with STT-MRAM for On-Chip Interconnects","Hyunjun Jang; Baik Song An; Kulkarni, N.; Ki Hwan Yum; Eun Jung Kim","Dept. of Comput. Sci. & Eng., Texas A&M Univ., College Station, TX, USA","Networks on Chip (NoCS), 2012 Sixth IEEE/ACM International Symposium on","20120531","2012","","","193","200","As the chip multiprocessor (CMP) design moves toward many-core architectures, communication delay in Network-on-Chip (NoC) has been a major bottleneck in CMP systems. Using high-density memories in input buffers helps to reduce the bottleneck through increasing throughput. Spin-Torque Transfer Magnetic RAM (STT-MRAM) can be a suitable solution due to its nature of high density and near-zero leakage power. But its long latency and high power consumption in write operations still need to be addressed. We explore the design issues in using STT-MRAM for NoC input buffers. Motivated by short intra-router latency, we use the previously proposed write latency reduction technique sacrificing retention time. Then we propose a hybrid design of input buffers using both SRAM and STT-MRAM to hide the long write latency efficiently. Considering that simple data migration in the hybrid buffer consumes more dynamic power compared to SRAM, we provide a lazy migration scheme that reduces the dynamic power consumption of the hybrid buffer. Simulation results show that the proposed scheme enhances the throughput by 21% on average.","","978-1-4673-0973-8","","10.1109/NOCS.2012.30","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209279","Network-on-Chip;STT-MRAM;input buffer;router","Computer architecture;Magnetic tunneling;Power demand;Random access memory;Switches;System-on-a-chip;Throughput","SRAM chips;buffer storage;multiprocessing systems;network-on-chip","NoC input buffers;SRAM;STT-MRAM;chip multiprocessor design;communication delay;data migration;dynamic power consumption;hybrid buffer design;intrarouter latency;many-core architectures;near-zero leakage power;network-on-chip;on-chip interconnects;retention time;spin-torque transfer magnetic RAM;write latency reduction technique","","2","","22","","","9-11 May 2012","","IEEE","IEEE Conference Publications"
"A Statically Scheduled Time-Division-Multiplexed Network-on-Chip for Real-Time Systems","Schoeberl, M.; Brandner, F.; Spars&#x00F8;, J.; Kasapaki, E.","Dept. of Inf. & Math. Modeling, Tech. Univ. of Denmark, Lyngby, Denmark","Networks on Chip (NoCS), 2012 Sixth IEEE/ACM International Symposium on","20120531","2012","","","152","160","This paper explores the design of a circuit-switched network-on-chip (NoC) based on time-division-multiplexing (TDM) for use in hard real-time systems. Previous work has primarily considered application-specific systems. The work presented here targets general-purpose hardware platforms. We consider a system with IP-cores, where the TDM-NoC must provide directed virtual circuits - all with the same bandwidth - between all nodes. This may not be a frequent scenario, but a general platform should provide this capability, and it is an interesting point in the design space to study. The paper presents an FPGA-friendly hardware design, which is simple, fast, and consumes minimal resources. Furthermore, an algorithm to find minimum-period schedules for all-to-all virtual circuits on top of typical physical NoC topologies like 2D-mesh, torus, bidirectional torus, tree, and fat-tree is presented. The static schedule makes the NoC time-predictable and enables worst-case execution time analysis of communicating real-time tasks.","","978-1-4673-0973-8","","10.1109/NOCS.2012.25","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209274","network-on-chip;real-time systems","Bandwidth;Hardware;IP networks;Real time systems;Schedules;Time division multiplexing","field programmable gate arrays;network topology;network-on-chip;time division multiplexing","2D mesh topology;FPGA friendly hardware design;NoC topology;all-to-all virtual circuit;bidirectional torus topology;circuit switched network-on-chip;directed virtual circuit;fat tree topology;minimum period schedule;real time systems;statically scheduled time division multiplexed network-on-chip;time division multiplexing","","12","","19","","","9-11 May 2012","","IEEE","IEEE Conference Publications"
"[Publisher's information]","","","Networks on Chip (NoCS), 2012 Sixth IEEE/ACM International Symposium on","20120531","2012","","","214","214","Provides a listing of current committee members and society officers.","","978-1-4673-0973-8","","10.1109/NOCS.2012.34","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209247","","","","","","0","","","","","9-11 May 2012","","IEEE","IEEE Conference Publications"
"Analytical Performance Modeling of Hierarchical Interconnect Fabrics","Nikitin, N.; de San Pedro, J.; Carmona, J.; Cortadella, J.","Univ. Politec. de Catalunya, Barcelona, Spain","Networks on Chip (NoCS), 2012 Sixth IEEE/ACM International Symposium on","20120531","2012","","","107","114","The continuous scaling of nanoelectronics is increasing the complexity of chip multiprocessors (CMPs) and exacerbating the memory wall problem. As CMPs become more complex, the memory subsystem is organized into more hierarchical structures to better exploit locality. During the exploration and design of CMP architectures, it is essential to efficiently analyze their performance. However, performance is highly determined by the latency of the memory subsystem, which in turn has a cyclic dependency with the memory traffic generated by the cores. This paper proposes a scalable analytical method to estimate the performance of highly parallel CMPs (hundreds of cores) with hierarchical interconnect fabrics. The method can use customizable probabilistic models and solves the cyclic dependencies by using a fixed-point strategy. The technique is shown to be a very accurate and efficient strategy when compared to the results obtained by simulation.","","978-1-4673-0973-8","","10.1109/NOCS.2012.20","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209269","analytical modeling;chip multiprocessors;contention;design space exploration;hierarchical interconnect","Analytical models;Delay;Equations;Fabrics;Mathematical model;System-on-a-chip;Throughput","integrated circuit interconnections;integrated circuit modelling;microprocessor chips;multiprocessing systems;probability;storage management chips","CMP architecture design;analytical performance modeling;chip multiprocessors;customizable probabilistic models;cyclic dependency;fixed-point strategy;hierarchical interconnect fabrics;hierarchical structures;memory subsystem;memory traffic;memory wall problem;nanoelectronic continuous scaling;scalable analytical method","","3","","28","","","9-11 May 2012","","IEEE","IEEE Conference Publications"
"Efficient Timing Channel Protection for On-Chip Networks","Yao Wang; Suh, G.E.","Comput. Syst. Lab., Cornell Univ., Ithaca, NY, USA","Networks on Chip (NoCS), 2012 Sixth IEEE/ACM International Symposium on","20120531","2012","","","142","151","On-chip network is often dynamically shared among applications that are concurrently running on a chip-multiprocessor (CMP). In general, such shared resources imply that applications can affect each other's timing characteristics through interference in shared resources. For example, in on-chip networks, multiple flows can compete for links and buffers. We show that this interference is an attack vector through which a malicious application may be able to infer data-dependent information about other applications (side channel attacks), or two applications can exchange information covertly when direct communications are prohibited (covert channel attacks). To prevent these timing channel attacks, we propose an efficient scheme which uses priority-based arbitration and a static limit mechanism to provide one-way information-leak protection. The proposed technique requires minimal changes to the router hardware. The simulation results show that the protection scheme effectively eliminates a timing channel from high-security to low-security domains with minimal performance overheads for realistic traffic patterns.","","978-1-4673-0973-8","","10.1109/NOCS.2012.24","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209273","covert channel;on-chip network;security;side channel","Interference;Quality of service;Resource management;Security;System-on-a-chip;Throughput;Timing","multiprocessing systems;network-on-chip;security of data","CMP;attack vector;chip multiprocessor;covert channel attacks;data dependent information;interference;on-chip networks;one-way information leak protection;performance overheads;priority based arbitration;realistic traffic patterns;router hardware;side channel attacks;static limit mechanism;timing channel attacks;timing channel protection","","3","","17","","","9-11 May 2012","","IEEE","IEEE Conference Publications"
"[Title page iii]","Zhotighai Lu; Yi Wang","Dept. of Electron. Syst., KTH (R. Inst. of Technol.), Stockholm, Sweden","Networks on Chip (NoCS), 2012 Sixth IEEE/ACM International Symposium on","20120531","2012","","","iii","iii","Flow regulation is a traffic shaping technique, which can be used to achieve communication performance guarantees with low buffering cost when integrating 'Ps to network-on-chip architectures. This paper presents dynamic flow regulation, which overcomes the rigidity of static flow regulation that pre-configures regulation parameters statically and only once. The dynamic regulation is made possible by employing a sliding window based online flow (σ, ρ) characterization technique, where σ bounds traffic burstiness and ρ reflects the average rate. The characterization method is effective and can be implemented in hardware with small area and high speed. The resulting dynamic regulation can adaptively adjust the traffic regulation strength in response to real traffic workload scenarios. As such, it makes more efficient use of the system interconnect resources, leading to significant improvement in network performance.","","978-1-4673-0973-8","","10.1109/NOCS.2012.2","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6209249","","","IP networks;electronic engineering computing;network-on-chip;telecommunication traffic","IP integration;buffering cost;dynamic flow regulation;network-on-chip architecture;online flow characterization technique;pre-configure regulation parameter;sliding window;static flow regulation rigidity;traffic burstiness;traffic regulation strength;traffic shaping technique;traffic workload scenario","","0","","","","","9-11 May 2012","","IEEE","IEEE Conference Publications"
